PMT Simulation ID	PMT Installation ID	Breakout Board 	Slot (0-47) 	DIGITIZER (1-8)	CHANNEL (0-14)	Warm Cable Transit (ns)	PMT to BB Delay (ns)	PMT to BB Transit (ns)	BB to Digitizer Delay (ns)	BB to Digitizer Transit (ns)	Total Transit (ns)]
192	R22	3	2	6	12	109.7	0.0	141.0	-0.16	7.24	148.2
162	R31	3	14	6	13	110.1	0.7	141.7	-0.1	7.3	149.0
216	R33	3	26	6	14	104.1	-5.55	135.45	-0.06	7.34	142.8
251	J13	1	3	7	0	107.7	4.15	145.15	-0.12	7.28	152.4
305	J11	1	15	7	1	113.5	-1.15	139.85	-0.12	7.28	147.1
275	J22	1	27	7	2	108.1	-1.7	139.3	-0.14	7.26	146.6
249	J33	1	39	7	3	111.3	1.85	142.85	-0.08	7.32	150.2
303	J31	1	4	7	4	104.5	-5.1	135.9	-0.08	7.32	143.2
247	K13	1	16	7	5	107.1	-2.95	138.05	-0.14	7.26	145.3
301	K11	1	28	7	6	108.3	-1.05	139.95	-0.14	7.26	147.2
299	K31	1	40	7	7	106.1	-3.55	137.45	-0.08	7.32	144.8
250	M11	2	3	7	8	na	-5.5	135.5	0.06	7.46	143.0
304	M13	2	15	7	9	108.9	-1.1	139.9	-0.12	7.28	147.2
274	M22	2	27	7	10	105.7	-4.0	137.0	-0.1	7.3	144.3
248	M31	2	39	7	11	109.5	-0.25	140.75	0.0	7.4	148.2
302	M33	3	3	7	12	104.7	-5.4	135.6	-0.14	7.26	142.9
246	N11	3	15	7	13	106.5	-3.1	137.9	-0.08	7.32	145.2
300	N13	3	27	7	14	106.1	-3.55	137.45	-0.08	7.32	144.8
273	K22	1	6	8	0	110.1	0.35	141.35	-0.14	7.26	148.6
245	K33	1	18	8	1	107.9	-1.55	139.45	-0.2	7.2	146.7
243	L13	1	30	8	2	104.7	-5.1	135.9	-0.18	7.22	143.1
297	L11	1	42	8	3	104.5	-5.15	135.85	-0.1	7.3	143.2
271	L22	2	6	8	4	108.9	-0.65	140.35	-0.1	7.3	147.7
241	L33	2	18	8	5	108.1	-1.1	139.9	-0.14	7.26	147.2
295	L31	2	30	8	6	112.7	3.1	144.1	-0.12	7.28	151.4
298	N33	2	42	8	7	106.1	-3.9	137.1	0.0	7.4	144.5
272	N22	2	7	8	8	107.3	-2.75	138.25	0.0	7.4	145.7
244	N31	2	19	8	9	106.9	-3.1	137.9	-0.12	7.28	145.2
242	O11	2	31	8	10	105.9	-3.7	137.3	-0.1	7.3	144.6
296	O13	2	43	8	11	109.7	0.0	141.0	0.0	7.4	148.4
270	O22	3	6	8	12	109.3	-0.6	140.4	-0.16	7.24	147.6
240	O31	3	18	8	13	107.9	-1.8	139.2	0.0	7.4	146.6
294	O33	3	30	8	14	109.5	0.0	141.0	-0.1	7.3	148.3
